schema_version	EvCTAPE-v2
ord	name	units	type	precision	range	sentinel	question_it_answers	source_ref
1	n	int	int	0	[0,+inf) monotonic, resets to 0 only at process start	NA	Did any row get dropped? Monotonic row index; makes the sink self-verifying (G8/gap check).	PREFLIGHT-GATE.md Sec5 field1; field-map.md row1 (NEW STATE: no existing counter, add module-level local evcTapeN, increment at print site in onFlightStep)
2	t	s	float	3	[0,+inf) session clock, monotonic non-decreasing	NA	When, on an absolute session clock, did this row happen? Joins markers and log timestamps.	PREFLIGHT-GATE.md Sec5 field2; field-map.md row2 (os.clock() precedent BirdController.client.luau:4185,4190)
3	dt	s	float	4	[0,1] typical 0.008-0.033, up to 1.0 on a hitch	NA	At what frame rate was this row sampled? No frame-rate witness exists elsewhere in the build (DIAG=false, BirdController.client.luau:6126).	PREFLIGHT-GATE.md Sec5 field3; field-map.md row3 (onFlightStep(dt) parameter, BirdController.client.luau:4745)
4	spd	studs/s	float	2	[0,1000] flight-envelope bound	NA	At what speed, since every cascade gain is speed-scaled?	PREFLIGHT-GATE.md Sec5 field4; field-map.md row4 (flightEngine.speed; writer FlightPhysics.luau:433-435; read pattern BirdController.client.luau:649,1326,1764,2841,3355)
5	aoa	deg	float	2	[-180,180]	NA	Slow command, or a washed-out wing? Claim 1's untestable alternative hypothesis.	PREFLIGHT-GATE.md Sec5 field5; field-map.md row5 (flightEngine.aoaDeg; BirdController.client.luau:1106,4339)
6	noseElev	deg	float	2	[-90,90] asin range	NA	Where is the nose? Loop-progress coordinate; resolve error in the loved channel.	PREFLIGHT-GATE.md Sec5 field6; field-map.md row6 (asin(clamp(cf.LookVector.Y,-1,1)) pattern, BirdController.client.luau:5066,5122,5126,5349; duplicated ungated at print site, birdLook is local to computeMouseAim)
7	aimElev	deg	float	2	[-90,90] asin range	NA	Was the commanded deflection actually straight up or straight down? Nothing in the 2026-08-02 tape recorded this.	PREFLIGHT-GATE.md Sec5 field7; field-map.md row7 (asin(clamp(aimTargetDir.Y,-1,1)) pattern, BirdController.client.luau:5127,5350,4497,5020; aimTargetDir module-level local :290, no hoist needed)
8	aimAz	deg	float	2	[-180,180]	NA	Was the deflection vertical or oblique? Separates claim 2/3 manoeuvres from throws.	PREFLIGHT-GATE.md Sec5 field8; field-map.md row8 (atan2 body-frame azimuth pattern, BirdController.client.luau:4496,5304; duplicated ungated, neither existing site is ungated)
9	defl	deg	float	2	[0,180] acos range	NA	How big was the deflection? Claim 1's independent variable, the thing STEP_DEG=30 hard-codes away.	PREFLIGHT-GATE.md Sec5 field9; field-map.md row9 (acos(clamp(look:Dot(aimTargetDir),-1,1)) form; offNoseDeg BirdController.client.luau:3982, gated by C.aimPushMode; recomputed ungated at print site)
10	phiH	deg	float	2	[-180,180]	NA	How much bank, measured in a way that survives the vertical? Horizon-referenced roll.	PREFLIGHT-GATE.md Sec5 field10; PREFLIGHT-GATE.md M3 (Sec3, formula atan2(Right.H,Up.H), H=unit(Yaxis - L*(L.Dot(Yaxis)))); field-map.md row10 (NEW, no existing source)
11	phiOk	bool	int	0	{0,1}	NA	Is field 10 (phiH) trustworthy this frame? 0 when abs(noseElev) > 80 deg; prevents reading a crushed bank as a small one.	PREFLIGHT-GATE.md Sec5 field11; PREFLIGHT-GATE.md M3; field-map.md row11 (derived from field 6 once computed, NEW)
