iter	hero	change	verdict	notes
0	church	INIT — blender-hero-forge skill built; Blender bridge DOWN (precondition unmet)	pending	Chad to launch Blender 5.1 + tools/blender/mcp_startup.py, then re-invoke /blender-hero-forge church
1	church	bridge LIVE (self-launched Blender); reconciled front+oblique photos as ONE centered-front-tower church; built massing (nave+gable+tower+belfry+spire+cross+2 facade spirelets)	keep	reads as a church; tower too thin, spire too dominant, roof too shallow, no spire-base pinnacles
2	church	tower_s 9->10.5, tower_h 24->25, ridge_h 19->21 (steeper), spire_h 18->17, +4 belfry corner pinnaculets framing spire base	keep	oblique now matches ref well: robust square tower, corner pinnacles, tall spire
3	church	facade spirelets pin_h 12->15, pin_cap 2.2->3.0 (front photo they reach ~60% up tower)	keep	front+oblique both true; 129 verts/106 faces; 21W x 50L x 48H m; exported church.glb
4	church	Chad feel note: central tower too wide, give wings more width. tower_s 10.5->9.5, nave_W 20->21.5 (tower/facade 0.53->0.44)	keep — SILHOUETTE LOCKED (Chad "yes it looks right" 2026-07-13)	front facade rebalanced; re-exported church.glb (+Y up). Fable BEFORE-consult done (SOUND-WITH-FIXES, 2 P1s banked for ingest). NEXT = C++ S5b glTF ingest path
5	church	INGEST: baked placement frame (sudbury_hero_place.py -> render/sudbury_hero.gen.h, orthonormal basis + lock guard); runtime append_hero_meshes in buildings.cpp transforms glb verts -> world-absolute, rides the town mono shader (no fork). Fable P1a/P1b folded	keep	build+link OK; static_assert lock guard passes; gate 413/413, 0 goldens moved (buildings.cpp is app-only, not in seads_tests)
6	church	LOCATE via nadir/beacon: found tilt-sign bug in the SMOKE cam aim (OBL_TILT +->-, cam +tilt=south); church confirmed placed at Chelmsford town center, upright 48m spire, correct scale	keep	beacon(tone5) nadir+oblique proved location+orientation; SEADS_OBL_PAN=-27.64 TILT=-10.80 frames Chelmsford
7	church	tone 1.0->0.72 (dark fieldstone, matches ref + distinguishes from lighter town); final shots shots/s5c_church.png (day offset 120) + dusk 170	keep — AWAITING-FLY	Fable AFTER red-team SOUND (0 P0/P1; verified raylib rmodels.c, memory lifecycle, sink single-count, fork-impossible). P2 folds: height_scale note + all-degenerate WARN. heading psi=0 (tune by eye on fly)
8	church	Chad feel v2: BIGGER+TALLER (spire 48->63.5m), CORRECT SPOT (3594 Errington Ave N, 46.58283/-81.19757; researched — blessed 1913 arch. Venne), GREY+WHITE two-tone (per-vertex COLOR_0 -> bj: grey 0.6 walls / white 0.96 spire+trim, was very dark), OPEN belfry + big BELL	keep — AWAITING-FLY	178 verts; ingest reads src.colors->per-vertex tone (tone mult 1.6). gate 413/413, 0 goldens moved. OPEN: facade heading (psi=0 provisional; Chad to give the Errington-facing bearing)
9	church	Chad feel v3: was ON THE ROAD -> setback_m=22 (shift back along -facade onto the lot, front lawn before Errington); + WIDE front STAIR (8 steps) up to a DARK DOOR elevated 2.4m (~8ft) on the tower facade	keep — AWAITING-FLY	250 verts; setback_m added to HeroPlacement + runtime pos0 -= fwd*setback. facade-side shot shows lawn+road. gate 413/413, 0 goldens. dials: setback_m/heading_deg/tone/sink_m
