stage	status	gate	goldens_moved	fable_verdict	commit	note
PLAN	PLAN	n/a	n/a	SOUND-WITH-FIXES (2×P0 + P1 folded)	83b850ed9	Fable-before: CC2 negative-mod P0, CC3 single-clock front P0, wrapped-phase-as-float + camera-facing billboard P1s folded into copper_cliff_plan.md
CC1	AWAITING-FLY	build+ctest 380/380	0	SOUND (1×P1 folded: hash1 unsigned)	09fdfae4e	Superstack mono plume, 28 alpha billboard puffs, pure-phase wrapped in the app; A/B (SEADS_NO_SMOKE) confirms the column is the smoke; reads bright vs the night sky (opacity/color/drift are the fly-dials)
CC2	AWAITING-FLY	build+ctest 380/380	0	SOUND (1×P1 folded: exact-L OOB)	8429d2007	loco + 8 slag pots on a hand-authored CLOSED spur (~3.8km), arc-length pose from a wrapped t_cel phase, mono steel; Chaikin-smoothed track draped on the height field; A/B (SEADS_NO_TRAIN) confirms the car chain; dusk shot reads small (steel is sun-lit, [train] color/ambient/rate + close fly are the dials)
CC3	AWAITING-FLY	build+ctest 380/380	0	SOUND (1×P1 folded: supply plateau)	8d6993e94	MARQUEE: dark mound + tipping pot + 3 molten lava rivers; WARM-CHROMA exception (single-sourced heat, single-clock advancing front + supply plateau, night-brightest); A/B (SEADS_NO_SLAG) + sat-mask confirm the orange passes the split-tone gate unsilvered; [slag] glow/rivers/mound + pour_rate the dials
DONE	STOP	all 3 AWAITING-FLY	0	3×Fable-before + 3×Fable-after	8d6993e94	Living Copper Cliff complete: CC1 smoke + CC2 trains + CC3 slag pour all built/gated/Fable-vetted/committed AWAITING-FLY; program.md stop clause reached
CC3-refine	AWAITING-FLY	build PASS	0	n/a (cosmetic mesh refine)	6dc0fca37	Chad fly-note: pour looked like 3 straight bars + cycled too fast. build_lava_mesh -> narrow-at-source, fan-out+widen alluvial fan, leading center vertex (round front that overtakes itself), rounded toe, meandering edges, steps 10->16; pour_rate_hz 0.05->0.02 (~50s/pour), rivers 3->5, halfwidth 7->5. vD stays [0,1] so the single-clock shader is untouched
DEFERRED-lengthen-hill	DEFERRED	n/a	n/a	n/a	—	Chad 2026-07-12: extend the slag MOUND into a longer slag RIDGE/mountain along the dump edge (the real INCO dump is a man-made range, not one cone). Grow build_mound_mesh into a ridge; keep the pour face aimed NW
DEFERRED-rail-dump	DEFERRED	n/a	n/a	n/a	—	Chad 2026-07-12: extend CC2 so the loco+pots run to the dump edge and TIP the pots (like CC3's static pot) to FEED the pour, synced to the pour phase — the train delivers + dumps, not just loops the spur
DEFERRED-big-nickel	DEFERRED	n/a	n/a	n/a	—	Chad 2026-07-12 (NEW hero): the Big Nickel — the giant 9 m nickel-coin monument at Dynamic Earth (~46.4693,-81.0207, Big Nickel Rd SW of downtown). Procedural hero like the Superstack (a thin vertical disc/coin on a plinth), mono steel; add to offline_tool/sudbury_hero.py
PLAN	PLAN	n/a	n/a	SOUND-WITH-FIXES (2xP0 + 7xP1 folded)	world-cc4-ridge	Fable-before CC-EXP: F1 ghost-pour gate P0, F2 angular-not-metres crest-point P0, F3 single-source h(z)+y0(z) drape, F4 back-toe taper, F5 C1 bump^2, F6 rigid pot rotation + separate mesh, F7 argmax s_dump, F8 car_gap 24m pour cadence, F9 lava samples h(z) — folded into copper_cliff_plan.md
CC4	AWAITING-FLY	build+ctest 413/413	0	SOUND-WITH-FIXES (1xP1 folded: run taper single-source)	world-cc4-ridge	LENGTHEN THE HILL: the CC3 cone mound -> a 700m LINEAR slag RIDGE (flat crest carries the track + steep 35deg pour face aimed NW + tapered ends, single-source h(z)/y0(z)); lava re-fit to the linear face (F9 per-vertex h(z)); the CC2 train now rides the crest via ridge_lift_at (F3 single-source, Fable-AFTER folded the run-taper fork). [slag] ridge_length_m/crest_width_m/face_angle_deg the dials. Smoke shots/cc4_*: ridge reads as a linear range, orange pour glows on the NW face at night (chroma passes). Kernel untouched, 0 goldens
