iter	date	rung	action	gate	key_metrics	status	note
1.0	2026-07-17	track-baseline	track mode + ClosedLoop aim_rate plumbing (controller untouched); 18 baseline rows V{80,140,220} x {pitch,yaw} x {sweep,sine,reversal}	309/309	V140 pitch sweep lag_ms=246.1 mean_err_deg=4.923 flips=0; V140 pitch reversal peak_err_deg=4.93 kick_dps=0.00	DONE	baseline is structurally gain-free (mechanism not built); V80 pitch sweep decelerates into a steep climb (lag 1007ms is honest); reversal reconverge_ms weak vs a lag-dominated envelope, peak_err+kick are the comparators
1.1	2026-07-17	aim-ff	mechanism landed: [aim_ff] gain=0.3 tau=0.01 + controller gated add (pitch pre-clamp, yaw ceiling-clamped) + Internal.aim_rate_filt + app smear seam (frame_ticks + aim_rate_ff forward + FrameResult.aim_rate_dt_sum) + 9 test legs + AT-9 scope amendment	320/320	V140 pitch sweep lag_ms=181.4 (was 246.1) mean_err_deg=3.629 (4.923) flips=0 (0); V140 pitch reversal peak_err_deg=3.64 (4.93) kick_dps=0.00; sine phase 50.4->33.2 deg; gain-override-0 reproduces baseline exactly	DONE	goldens unmoved; AT-9 bit-identity leg now runs gain-0 (smear is partition-dependent BY DESIGN) + new shipped-gain integral/closeness leg; mutant (pitch FF deleted) killed by 3 legs on fresh binary
1.2	2026-07-17	aim-ff-redteam	fresh-context red-team SOUND-WITH-FIXES folded: P1 yaw clamp reshaped to bound POINTED+FF only (yaw_coord captured; coordination rides above yaw_max as documented - the total-clamp had revoked the exemption and touched a still mouse) + 2 corner legs (exemption-above-ceiling under FF saturation; still-mouse bit-identity at shipped gain) + P2 comments (shortest-arc anti-lead frame; AT-9 smear-shape pinning honesty; ZOH world-rate non-retransport)	322/322	V140 pitch sweep lag_ms=181.4 mean_err_deg=3.629 flips=0 (unchanged by the fold)	DONE	goldens unmoved; gain-0 tree bit-identical by construction (yaw seeded from the same arithmetic, no re-association)
2.0	2026-07-17	capture-attribution	instrument only (run_step: s_trace + seek-branch classifier taper|brake|ceil|aoa + CAPTURE readout + carry_override A/B arg + flick-tick aim_moved; [capture] table + params + loader walls landed DATA-ONLY, nothing reads carry yet)	n/a (mechanism-free; full gate at 2.2)	slow-in owned by the K_theta LINEAR/PARABOLIC TAPER end-to-end: aoa->taper handoff e=5.61 deg (V140/45) / 7.51 (V220/45) / 5.28 (V140/90) / 7.43 (V220/90), ceil->aoa 35.7/17.4/80.7/62.4; braking sqrt NEVER binds (pitch alpha_max 15.32 rad/s^2 @V150 keeps it above taper); last-2deg V140/45 rate 8.1->0.2 dps; arrival at the 0.55-deg circle 1.3 dps vs peak 59.6 (ratio 0.023), V220 1.4/38.9 (0.035), 90-deg steps 0.023/0.045; legacy NEVER CROSSES the aim (cross=NO all 4, overshoot <=0.02 deg one-sided asymptote)	DONE	circle_deg honest = 0.551 deg (9 px RADIUS ring draw.cpp DrawCircleLinesV @1080p fovy60: 540/tan30=935.3 px/rad; the spec 0.27 presumption halved it); design consequence: ENGAGE = first tick the pointed demand dips below the achieved closing rate; physics wall named up front: apex = rim + w_cross^2/(2*alpha), crossing at 23-34 dps stops in ~0.5-1 deg so the 0.70-0.95 rim band is unreachable at carry=1 (measure at 2.2, fly card names it; carry is the trade dial)
2.1	2026-07-17	capture-baseline	mechanism landed (controller.cpp event machine: park-edge ARM + slow-in-onset ENGAGE + CARRY/RETURN demand ownership + deadzone-latch deferral; CaptureState in Internal+Telemetry; [capture] live) — these rows are the STRUCTURAL OFF arm (step ... carry_override=0)	330/330 (322 + 8 capture legs)	CAPTURE carry=0: V140/45 ratio=0.023 rim=0.00 cross=NO drift=0.0406; V140/90 0.023/NO; V220/45 0.035/NO; V220/90 0.045/NO — identical shape to the 2.0 pre-mechanism rows (drift differs in the 4th decimal only via the 1080-vs-900-tick window)	DONE	carry=0 pinned structurally: state IDLE through a full flick + all other [capture] dials byte-invisible + carry=1-unarmed==carry=0 byte-identical (links the shipped dial to pre-diff transitively through the unmoved goldens)
2.2	2026-07-17	rimshot	shipped dial carry=1.0 rim_frac=0.85 circle_deg=0.55 return_w=60 snap 30/25	330/330 zero moved goldens; 3 mutants killed on fresh binaries (M1 carry-ownership deleted: 4 legs; M2 deadzone-deferral deleted: 1 leg; M3 arm-on-rising-edge: 2 legs)	CAPTURE V140/45: ratio=0.387 rim=1.31 revs=1 return_ms=50 drift=0.674 w_cap=23.1 engage_e=5.61; V140/90: 0.368/1.73/1/75ms/0.971; V220/45: 0.887/1.77/1/67ms/0.460 w_cap=34.5 engage_e=7.51; V220/90: 0.866/1.43/1/58ms/0.465 — vs legacy ratio 0.023-0.045 cross=NO; TRACK unchanged bit-identical to 1.1/1.2 (sweep 181.4/3.629/0 flips, sine 33.2deg/0.786, reversal 3.64/kick 0.00) — smooth tracking never arms	DONE AWAITING-FLY	honesty walls for the fly card: (1) rim 1.31-1.77 vs the 0.70-0.95 band — the far apex = rim detect + stopping distance from the carried rate (physics; carry is the trade dial, lower carry = tighter rim); (2) drift 0.46-0.97 deg mean over 0.25s post-center — the return crossing arrests ~0.5-0.9 deg past center then taper-creeps back (not sub-pixel; return_w down = softer); (3) V=60 45-deg pull bleeds into BALLISTIC and the machine correctly aborts (envelope leg runs V80/35); AT-9 shipped-gain tripwire re-scoped 2m->15m (measured 5.16m — event discrete transitions amplify the accepted FF-smear divergence; same law both rates, gain-0 leg still bit-identical WITH the machine live)
2.3	2026-07-17	rimshot-arrest	RETURN reshaped (drift 0.46-0.97 was off-spec: blow-past + taper creep-back): demand = -sign*min(return_w, sqrt(2*alpha*d_remaining)) with alpha = FULL derived per-axis authority (ang_accel_max_derived at live V+alt, NOT k_b-scaled, composed along u by min(alpha_ax/|u_ax|)) + the ARREST = tau-surface release (exit RETURN when d_remaining <= |w_u|*tau_u, tau_u = I/(K_w + damp*q_eff) projected along u — the completion of the plant inversion, S-dampff pattern) + instrument fields w_exit_dps/over2_deg/arrive_ms + env SEADS_CAP_TRACE per-tick arrest trace	332/332 zero moved goldens (330 + 2 new legs); mutant M4 (release surface deleted -> s_u>=0-only exit) killed by leg 8 on a fresh binary (31 failed assertions: dead-stop, no-blow-past, drift)	CAPTURE V140/45: drift=0.0138 (was 0.674) w_exit=0.6 dps (was ~14) over2=0.053 (was 0.524) revs=1 rim=1.31 ratio=0.387 return_ms=217 arrive_ms=167; V140/90: 0.0436/1.3/0.0501/1/1.73/400ms; V220/45: 0.0521/2.4/0.072/1/1.77/100ms; V220/90: 0.0576/1.8/0.0679/1/1.43/100ms (90-deg rows re-measured after the 2.4 P2-1 fresh-axis fold — drift DOWN 0.0476->0.0436 and 0.0591->0.0576; 45-deg rows unchanged to printed precision) — terminal drift now AT/BELOW the carry=0 park (0.041-0.047); approach_ratio+rim unchanged (phase 1 untouched); TRACK unchanged bit-identical (sweep 181.4/3.629/0 flips)	DONE AWAITING-FLY	SURPRISE (the honest wall): the prescribed sqrt-at-full-alpha demand ALONE measured drift 0.40-0.47 — demanding deceleration alpha through the rate servo needs a demand-vs-measured gap alpha*I/K_w ~ 52 dps, above every event rate, so the sqrt never slows the plant (it is kept as the physics CEILING: no rate the plant could not arrest is demanded, pinned open-loop leg 9 incl. the no-linear-floor ratio-2 check); the drift was the OMITTED SERVO RESPONSE — s_u>=0 exit crossed center at 12-17 dps and coasted w*tau ~ 0.5 deg past, then taper-crept back; the tau-surface release inverts that response so the coast lands AT center (crossing at 0.6-2.4 dps, sub-pixel). Trade named for the fly card: arrive_ms 100-392 vs the spec's ~60-90 one-beat guess — the arrest tail is servo-bandwidth-limited (tau ~ 42 ms); the honest lever if Chad reads the landing soft = an active counter-brake phase (demand -k*w during the coast, tau/(1+k)) — NOT built (one mechanism per rung). New legs: leg 8 dead-blow (cap-floor non-no-op REQUIRE >= 0.8*min(return_w, sqrt-ceil at rim); beats-the-taper clock 0.5*ln(rim/lo)/K_theta; dead-stop |w-cff| <= 4*deadzone_lo/tau at arrival; no-blow-past + drift <= 2*deadzone_hi) + leg 9 open-loop shape pin (doctored RETURN at zero rate holds the state; sqrt ratio-2 at 4x distance; min() cap config-varied)
2.4	2026-07-17	rimshot-redteam	fresh-context red-team SOUND-WITH-FIXES folded: P1-1 AT-9 event-premise pin (RunResult.max_capture sampled per frame from Internal.capture; REQUIRE >= CARRY in BOTH partitions in BOTH the gain-0 and shipped-gain legs — the widened 15 m bound can no longer outlive its justification under a snap_on/aim_sensitivity retune, the AT-15 silent-disarm class) + P2-1 fresh-axis RETURN (cap_u re-captured as -demand-hat at the CARRY->RETURN transition; closes the stale-axis hole on curving/diagonal approaches where ENGAGE fires early off a falling G-ceiling; planar identity by construction) + P2-2 leg-6 dwell premise (REQUIRE first in-circle event tick * sim_dt > deadzone_rest_dwell — the deferral test can never go vacuous under a legal rest_dwell retune up to 2.0 s) + P2-3 instrument-scope H1 cross-links (seek_law <-> harness ATTRIB classifier both directions; planar-only caveat on the yaw ATTRIB output) + P3 loader wall snap_on < pi (err is an angle in [0,pi]; >= pi structurally disarms while the armed-dials check passes) + stale V=60 leg-5 comment fixed (fixture is V80/35)	332/332 zero moved goldens (no new TEST_CASEs — premises added inside existing legs)	CAPTURE grid re-run: V140/45 + V220/45 unchanged to printed precision; V140/90 drift 0.0476->0.0436 (arrive 392->400ms), V220/90 drift 0.0591->0.0576 — the 90-deg rims carry a real (tiny) yaw component the fresh axis now reads, drift IMPROVED both (2.3 metrics updated in place); TRACK sweep unchanged bit-identical (181.4/3.629/0 flips); AT-9 shipped-gain pos_err 5.16->1.04 m (the fresh-axis transition shifted the discrete-event tick alignment; still documented-bounded at 15)	DONE AWAITING-FLY	uncommitted by instruction (parent session owns the commit); the AT-9 max_capture samples Internal at FRAME boundaries — sufficient because CARRY+RETURN occupy ~30+ ticks vs the slow run's 4-tick frames (comment in test_at9.cpp names the sampling premise)
3.0	2026-07-17	globe-inertia	mechanism landed (S-globelook): render::OrbitInertia pure helper (instant-grab seed via 50 ms hand-rate EMA + exact-integral coast exp(-dt/tau) + cap + per-axis wall absorb + full-wipe reset) + [freelook] inertia_tau=0.2 inertia_cap=90 + loader walls (tau>=0; cap>0 when tau>0) + main.cpp glue gated on tau>0 (grab/pend/coast frame classification; legacy expression tree literal on every non-coast frame)	339/339 zero moved goldens (332 + 6 helper legs + 1 loader-wall leg); mutant (coast integral -> Euler v*dt) killed by 2 legs on a proven-fresh relink	6 legs: tau0-structural-off | instant-grab-replace | decay-halving+integral | seed-cap | pitch-floor-clamp-zero | framerate-2x8ms==1x16ms; helper law fully ctest-covered; held-with-motion path bit-identical (coast only on held-and-still frames; PEND holds 0-tick moving frames silent)	DONE AWAITING-FLY	glue lines UNCOVERED by ctest (no ctest runs seads.exe): app/main.cpp 130 (state decl) + 368 (orient reset) + 399-465 (held-block classification, coast delta injection, clamp-contact zeroing) + 493 (respawn reset) + 530 (release wipe); feel proof is Chads stick (fly card: spin the globe with a flick then hold still - it coasts ~0.2 s; release still eases home as today)
3.1	2026-07-17	globe-dwell	fresh-context red-team SOUND-WITH-FIXES folded (constitutional sweep clean): P1 staircase/isolated-count seeding — a COAST-classified still frame dropped its wall time from the rate window AND cleared hand_on, so an integer-mouse SLOW drag's 0-count gap frames reseeded v to the instantaneous per-step rate and coasted on it (measured ~2x at 1 count/2 frames, ~3.7x at 1 count/4, lone 1-px nudge glid 2.4 deg vs 0.2 commanded — the quantizer, not the hand, left the globe, contradicting the spec's inertia-only-on-still-held-frames) -> coast ENTRY gated on a stillness dwell (the S-dz-motion rest_dwell pattern), new dial [freelook] inertia_dwell=0.075 s: still frames inside the dwell are helper-classified PEND (zero motion, rate window accrues so a post-gap seed is delta/true-window, hand_on holds so the EMA blends), rate window zeroed on coast entry (a long rest never dilutes the next gesture's seed); 0 = pre-dwell coast-immediately, bit-identical arm, RE-OPENS the staircase (documented in the toml) + loader wall dwell >= 0 + P2-1 EMA-blend leg + P2-2 pend-window leg + the staircase leg	342/342 zero moved goldens (339 + 3 legs: ema-blend-neither-rate | pend-widens-window | staircase-dwell)	staircase leg (1 count/4 frames, 25 counts, shipped dials tau=0.2 cap=90 dwell=0.075 sens=0.20): dwell ON coast contribution == 0.0 EXACTLY over the drag + seed settles to the honest delta/(4dt); dwell 0 amplification = 3.667x commanded (= 1 + tau*(1-exp(-3dt/tau))/dt, pinned Approx margin 0.01 as the counter-example); coast onset = 5th still frame after the last count (~80 ms) with window_dt == 0 at entry — the toml's stated ~4-5-frame cost, masked by the flick	DONE AWAITING-FLY	pre-existing 6 helper legs unchanged (coast's dwell param defaults 0.0 = the arm they pin); caller passes cparams.freelook_inertia_dwell at the ONE coast call site; a truly isolated fresh-gesture single count still seeds instantaneous by design (instant-grab DCC convention — the window is deliberately zeroed at coast entry); fly card CARD 3 written
