rung	status	gate	goldens_moved	review	commit	note
R0	DONE	build+ctest 413/413	0	n/a	a0e8cec55	green baseline on sandbox/world-sudbury; forked sandbox/solid-ground
PLAN	PLAN	n/a	n/a	fable-before: GREENLIGHT (atm_frac IS the primitive not rho_at; §3.C missed controller.cpp:759 S-dampff; control::step no-default-arg; R1 *257 bit-safe)	-	R1-R3 seam vetted; 3 conditions folded
R1	DONE	build+ctest 414/414	0	n/a	b99037c36	16-bit HeightField px(uint16)+sample01/65535+loader*257 (BIT-IDENTICAL) + precision tripwire AT; GENUINE re-bake DEFERRED (rasterio missing + remote S3 COG + 24000^2 RAM)
R2	DONE	build+ctest 414/414	0	n/a	49a8a719a	HeightField+equirect_uv -> neutral seads_world lib (world/heightfield.*); seads_sim links it; render:: using-alias (no fork); kSudburyRibbonPaths DEFERRED (generated header; Phase 4)
SYNC	DONE	build+ctest 416/416	sealed (DELIBERATE kernel resync, Chad ruling)	n/a	078fb588a	merged main's SEALED-KERNEL-V3 into solid-ground (S-ffrad |position| ff, all-axes damp_ff, aim 0.14); clean merge except CLAUDE.md banner; controller goldens are now the sealed baseline; ctest 416/416
R3	DONE	build+ctest 416/416	0	adversarial (fable-after): GREENLIGHT, P0 none; 3xP1 = R4-forward (wrapper env trio app/drone/harness); P2 doc-drift + Phase-2 atm_frac/weapon	e49d85922	sim::Environment nullable seam (ALL-NULL BIT-IDENTICAL) threaded thru sim::step + control::step, no-default-arg, ~95 sites, env [[maybe_unused]]. KERNEL SIGN-OFF GRANTED (Chad, 2026-07-15) ✓
R4	DONE	build+ctest 426/426	0	adversarial: GREENLIGHT-WITH-FIXES; P0-1 (liftoff/re-contact micro-cycle killed benign rollouts) folded as the RE-ATTACH GRACE (sink<=3*g*dt skips the attitude re-grade, structural); follow-up found+fixed: directionless rolling-slope check (falling edge = release, rising wall = crash, by dot(n,v_t)); re-review CONFIRMED-GREENLIGHT (mutations run: grace off/inflated, sign flip, follow_m 2.0->0 all kill the suite). P1 CARRIED for the fly: radial sink acceptance (fast level pass into a landable slope sticks at ground speed) + free-PE sub-limit uphill rolls (radial constraint, no slope-along gravity)	fcc634bab	Chad ruled (2026-07-15): IN-KERNEL via env.ground + TOUCH-AND-STICK. Landed: sim/ground.h contact regime (crash predicate |pos|<=radius_at; gentle+upright+flat -> GROUNDED; rolling friction to a full stop; honest takeoff = lift release, no scripted rotate speed); world::HeightField::normal_at (central-diff, single-source); env threaded NO-DEFAULT thru app::tick/step_frame + drone::tick + injector (R3-review P1), ClosedLoop env MEMBER (documented deviation + its firing AT); kernel crash verdict in app+drone when ground live (sea-level lake touchdown = LANDING, not the old altitude<=0 death); render::planet_heightfield exposes the ONE post-blur field to main.cpp. Keys added: config/game.toml [ground] enabled/slope_limit_deg/friction/max_sink_ms/normal_probe_m (loader cross-check friction < T_max/(m*g)) + [deck] height_agl_m Phase-2 placeholder. 10 ground ATs (crash/land+roll+stick/rejects/takeoff/grace both-sides/downhill-track/fell-away/wall/ClosedLoop-env/null-identity)
R4-FLY	HALT	build+ctest 426/426	0	n/a	-	HALT — Chad FLIES the landing FEEL (airstrip, lake ice, hillside; MASTER_PLAN Phase-1 acceptance). Dials = game.toml [ground]: slope_limit_deg 15 / friction 0.08 / max_sink_ms 3.0 (PLACEHOLDERS, Chad's stick rules); enabled=false reverts to the bare sphere for A/B. Fly-watch (carried P1s): fast level pass into a landable slope sticks at full ground speed; sub-limit uphill rolls pay no gravity; deliberate knife-edge grace-skim landing representable. R4b ground-roll STEERING deferred (cuttable tail). GisAirstrip rails / landable-lake gating deferred (generic contact subsumes them for v1).
R4-FLY-1	DONE	build+ctest 426/426	0	n/a	4aba8fc9d	Chad FLEW (2026-07-15): landing FEEL GOOD (crash #1 was a legit hard arrival; landing #2 stuck). Defect: SUNK INTO THE ROAD, only part of the plane above ground = the kernel constrained the CG to the terrain surface (no gear height existed). FIX: [ground] contact_height_m (placeholder 1.5 m, Bf 109 CG-over-wheels; Chad tunes on sight) - the contact surface is radius_at + contact_height everywhere (contact test, snap, fell-away); ATs re-anchored + the offset PINNED (nonzero kContactH, surface-constraint assert); sea-level leg keeps h_c=0 deliberately so the altitude==0-is-a-landing pin stays strong. RESIDUAL on roads: road decks RENDER +2.0 m above the physics terrain (world.toml [ribbons] lift_m, anti-z-fight) so expect ~0.5 m visual sink on roads specifically until that render lift is retuned (render dial, not a kernel issue). AWAITING re-fly.
R4-FLY-2	DONE	build+ctest 426/426	0	n/a	219d9de68	Chad FLEW again: TOO HARD TO LAND - shallow full-flaps lake approach at ~50 m/s crashed. Diagnosis: max_sink 3.0 demands a <3.4 deg slope at 50 m/s with no flare assist/sink readout (greaser-only); slope_limit 15 clipped a normal 10-12 deg flare nose-up. TUNE (config-only, no code): max_sink_ms 3.0->6.0 (~7 deg at 50 m/s), slope_limit_deg 15->20. Note: 50 m/s touchdown is REALISTIC (Bf 109 ~45 over the fence); gear-down drag helps slow. Candidate if still blind: HUD sink-rate readout (pure shell). AWAITING re-fly.
R4-FLY-3	DONE	build+ctest 427/427	0	n/a	e7020305d	Chad FLEW: LANDED Wanapitei, rolled to 25 m/s, TOOK OFF (Phase-1 lake acceptance MET). Asks: (a) still looked half-sunk ON THE LAKE = the mirror-water deck renders +2.0 m above the physics lakebed ([water] surface_lift_m); (b) wants wheels that ROLL. Landed: (a) STANCE - [water] surface_lift_m 2.0->1.2 (floor = ~1.0 facet sag; watch lakes for holes/shimmer at grazing angles), [ribbons] lift_m 2.0->1.2 (watch roads for gaps over rough terrain), [ground] contact_height_m 1.5->2.0 (the documented stance trade: 1.5 wheels-on-bare-ground / 2.7 wheels-on-deck / 2.0 split; REAL fix = finer lake-mirror bake, offline, later); (b) WHEEL SPIN - Driven::Wheel on the main tyres (rig), angle APP-accumulated from TICK time (fr.ticks*sim_dt, render stays clock-free per the prop discipline), threaded via FrameInfo.player_wheel_roll_rad, wheel radius single-sourced from the rig spec; drones' tyres rest. ATs: rig-R4 spin leg (zero-roll bit-exact rest + angle + direction + tailwheel untouched); validator census 10->12 driven + wheel hub-symmetry branch. NOTE: wheels are placeholder GenMeshCubes until rig-D D.3 ingestion - spin reads as tumbling boxes up close; the real tyre GLBs make it round. AWAITING re-fly.
R4-APPROVED	DONE	build+ctest 427/427	0	Chad's stick: APPROVED	-	Chad (2026-07-15): ''its good!'' - landed FIELDS + a ROAD 2x in ONE LIFE (prior: Wanapitei lake -> 25 m/s -> takeoff). Phase-1 ''land the plane anywhere'' MET. R4 rung CLOSED at dials slope 20 / friction 0.08 / max_sink 6.0 / contact_height 2.0 / water+ribbons lifts 1.2. NEXT: R4b steering = cuttable (Chad opt-in only) else fork sandbox/fields-forge from this green HEAD -> Phase 2 R5 GravityField (the big kernel gate; carry-ins: atm_frac(position) primitive ~8 consumers, weapon g fork, projectile bare-sphere cull). Deferred: finer lake-mirror bake, rig-D wheel GLBs, GisAirstrip rails, 16-bit source DEM.
PLAN	PLAN	n/a	n/a	fable-before: GREENLIGHT-WITH-FIXES (P0-1 dem_blend_4m is CDEM-upsampled, no HRDEM cache -> bake the 16m blend; P0-2 decimation plumbing moot; P0-3 theatrical_elev_at_dir sampled u8 not u16; P1 lifts from dense SIGNED facet-chord sampling)	-	R4-TAILS vetted (Chad directive 2026-07-15: R4 deferred items + elevated roads + proper 16-bit bake before R5); program.md ladder amended
R4c	DONE	build+ctest 431/431	0	fable-before P0-3 folded	50f6e21c1	GENUINE 16-bit DEM (closes R1 deferral): bake quantizes the SAME float field to u16 (5mm steps vs 1.4m) packed PNG R=hi/G=lo (raylib 5.5 stbi truncates 16-bit gray); world::dem16_unpack = the ONE convention, legacy gray decodes bit-identically (r*257==(r<<8)|r, no format branch); header elevs sample the u16. PROOF: new-vs-old max delta = 128/65535 = half an 8-bit LSB (identical field, finer quant); all sibling assets byte-identical; lock hash UNCHANGED. HRDEM/LiDAR source still deferred (cache is CDEM-only)
R4d	DONE	build+ctest 432/432	0	adversarial: CONFIRMED-GREENLIGHT (rd2; P1-1 lift provenance -> committed 4b kink measurement + lift 0.45; P2-1 eps-pin sub-block AT; P3 blur allowlist/clamp/indent/6-face probes folded)	9e3e17c95	ROAD-ON-TERRAIN root fix (Chad's 'roads elevated above terrain'): measured cause = radius_at-drape vs facet-interp divergence (p99 ~6m max +60m at subdiv 200; chord/densify <0.1m — densify stays 80, NO ribbon re-bake). Landed: face TILING (fill_face tile variant, global-index bit-identical shared edges, [planet] tiles=2 -> 24 meshes, effective 399 verts/edge) + facet_radius_at (the rendered surface itself; roads/trails/rivers now drape ON it) + [ribbons] lift_m 1.2->0.45 measured clearance (kink burial p90 0.17/p95 0.29/p99 0.82). Universal 1.2m hover GONE; keys: [planet] tiles, lift re-derivation note
